nategories,4,,,,,,,,,,
ncriteria,10,,,,,,,,,,
,,,,,,,,,,,
pt,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,assign
a1,2,1,1,2,1,1,2,2,1,1,1
a2,1,2,3,3,2,1,3,1,3,3,4
a3,3,3,2,1,2,2,3,3,3,3,4
a4,2,3,4,2,4,2,2,2,1,2,4
a5,1,2,1,2,2,2,2,1,1,2,2
a6,2,2,3,2,4,2,2,2,2,1,3
a7,2,2,2,2,2,1,2,2,2,1,3
a8,1,3,3,1,4,2,1,1,2,3,3
a9,2,2,1,1,3,1,1,3,1,1,2
a10,3,3,3,2,1,1,2,2,3,2,3
a11,3,2,2,2,4,1,3,1,2,3,2
a12,2,1,2,2,3,1,2,2,3,1,3
a13,2,1,1,3,3,1,2,2,2,2,2
a14,2,3,3,2,2,2,1,3,2,3,3
a15,3,3,3,2,1,1,2,2,3,2,3
a16,3,2,2,1,2,2,2,2,1,3,3
a17,2,1,2,2,3,1,2,2,3,1,2
a18,2,1,3,3,4,2,2,2,3,2,3
a19,2,3,2,1,2,2,2,2,2,3,4
a20,2,3,4,3,2,2,2,3,3,2,4
a21,2,1,1,2,1,1,2,2,1,1,2
a22,3,2,3,2,2,1,2,3,3,3,4
a23,2,3,3,1,1,2,3,2,1,1,3
a24,3,3,4,3,2,1,3,2,3,2,3
a25,3,2,2,1,1,2,3,1,1,3,3
a26,3,3,3,2,4,2,2,2,3,1,4
a27,1,2,2,3,3,2,2,1,1,2,3
a28,2,2,2,2,2,1,2,2,2,1,2
a29,2,2,2,1,3,2,2,2,3,3,4
a30,3,3,2,2,2,1,2,2,2,1,2
a31,2,3,2,2,2,1,3,3,1,2,3
a32,2,3,4,2,2,1,3,2,3,2,3
a33,2,3,2,1,2,2,2,2,2,3,4
a34,1,3,3,1,4,2,1,1,2,3,2
a35,2,3,4,2,4,2,2,2,1,2,2
a36,1,3,3,1,4,2,1,1,2,3,3
a37,2,2,3,2,4,2,2,2,2,1,2
a38,1,3,1,3,2,1,1,1,3,2,4
a39,1,2,1,1,4,1,1,1,2,1,2
a40,1,3,1,3,2,2,1,2,1,3,1
a41,2,3,3,2,3,1,3,2,2,3,4
a42,2,2,1,1,1,1,2,2,1,3,2
a43,2,2,2,1,3,2,2,2,3,3,4
a44,2,2,1,1,1,2,2,3,1,1,3
a45,3,1,1,3,2,2,3,3,1,2,2
a46,2,2,1,3,3,1,3,2,1,2,3
a47,2,3,2,1,2,1,2,1,2,3,2
a48,2,2,3,2,4,2,2,2,2,1,4
a49,2,3,1,3,4,1,2,1,2,3,3
a50,1,1,2,2,1,2,1,2,2,2,2
a51,1,1,1,2,1,1,3,3,1,1,2
a52,3,2,1,3,3,1,1,3,3,2,2
a53,2,3,3,2,3,1,3,2,2,3,3
a54,2,3,3,2,3,1,3,2,2,3,4
a55,2,1,3,3,2,2,3,2,2,3,4
a56,1,3,1,2,3,1,2,2,2,2,3
a57,2,1,3,3,2,2,3,2,2,3,3
a58,3,1,1,3,2,2,3,3,1,2,2
a59,2,3,2,2,2,1,3,3,1,2,3
a60,2,3,4,3,2,2,2,3,3,2,4
a61,1,2,1,1,4,1,1,1,2,1,3
a62,2,3,2,2,2,1,3,2,2,1,2
a63,3,3,1,1,4,1,2,3,3,3,3
a64,2,3,4,2,4,2,2,2,1,2,4
a65,2,2,2,2,2,1,2,3,1,3,3
a66,3,3,2,3,2,1,2,2,2,2,3
a67,3,3,3,2,1,1,2,2,3,2,3
a68,2,2,1,3,2,2,1,3,1,1,3
a69,3,3,4,3,2,1,3,2,3,2,3
a70,1,2,1,1,1,1,1,1,1,1,2
a71,2,2,2,1,1,1,1,3,2,3,2
a72,2,2,2,1,1,1,1,3,2,3,2
a73,2,1,1,2,2,1,2,1,1,3,2
a74,3,2,3,2,2,1,2,3,3,3,3
a75,1,2,2,1,1,2,1,2,1,2,2
a76,2,1,1,3,3,1,2,2,2,2,2
a77,2,3,4,2,2,1,3,2,3,2,3
a78,2,1,1,1,1,1,1,2,2,2,2
a79,2,3,2,3,3,2,1,1,2,1,2
a80,1,2,1,1,4,1,1,1,2,1,2
a81,3,3,3,2,1,1,2,2,3,2,3
a82,2,2,4,2,2,2,2,2,3,3,4
a83,2,1,3,3,4,2,2,2,3,2,3
a84,2,3,3,2,2,2,1,3,2,3,4
a85,1,2,2,3,1,1,1,2,2,2,3
a86,2,1,1,3,3,1,2,2,2,2,2
a87,1,3,3,2,2,1,2,3,2,1,3
a88,1,3,2,1,2,2,1,1,2,1,1
a89,2,3,4,1,3,2,2,1,2,2,2
a90,2,3,3,2,2,2,3,2,3,3,4
a91,1,3,2,1,2,2,1,1,2,1,2
a92,2,2,1,3,2,2,1,3,1,1,2
a93,1,2,1,2,1,1,1,3,1,1,2
a94,1,1,2,2,1,2,1,2,2,2,2
a95,2,1,3,3,4,2,2,2,3,2,2
a96,2,3,2,3,3,2,1,1,2,1,2
a97,2,3,3,1,1,2,1,3,2,2,3
a98,2,2,4,3,2,2,2,1,3,1,3
a99,2,3,2,2,2,1,3,3,1,2,2
a100,2,2,3,2,4,2,2,2,2,1,4
